1;0;1
1;1;2
1;10;3
2;6;1
2;0;2
2;3;3
2;0;4
2;8;5
2;2;6
3;11;1
4;9;1
4;1;2
4;14;3
4;6;4
5;11;1
5;3;2
5;7;3
5;0;4
5;8;5
5;2;6
5;9;7
5;13;8
5;6;9
6;12;1
6;0;2
6;9;3
6;3;4
6;7;5
6;2;6
6;14;7
6;1;8
6;5;9
7;12;1
7;3;2
7;9;3
8;12;1
8;4;2
9;3;1
9;14;2
9;8;3
9;2;4
9;11;5
9;6;6
9;13;7
9;1;8
9;7;9
9;10;10
10;5;1
10;12;2
10;3;3
10;8;4
10;1;5
11;9;1
11;2;2
11;13;3
11;6;4
11;4;5
11;15;6
11;7;7
11;10;8
12;9;1
12;5;2
12;14;3
13;9;1
13;4;2
13;12;3
13;6;4
14;9;1
14;3;2
14;11;3
14;6;4
14;12;5
14;2;6
15;0;1
16;12;1
16;3;2
17;12;1
17;4;2
17;9;3
17;2;4
17;11;5
17;6;6
17;13;7
18;9;1
18;5;2
18;14;3
18;3;4
19;9;1
19;4;2
19;12;3
19;6;4
19;13;5
19;2;6
19;11;7
20;9;1
20;3;2
20;11;3
21;9;1
21;4;2
21;12;3
21;6;4
21;13;5
21;2;6
21;11;7
21;5;8
21;14;9
22;5;1
22;12;2
22;3;3
22;8;4
22;1;5
22;9;6
23;9;1
24;13;1
24;5;2
24;10;3
24;2;4
24;8;5
25;8;1
25;13;2
26;9;1
26;3;2
26;13;3
27;9;1
27;14;2
27;3;3
27;8;4
27;2;5
27;11;6
27;6;7
28;3;1
28;14;2
28;8;3
28;2;4
28;11;5
28;6;6
28;13;7
28;1;8
28;7;9
28;10;10
28;5;11
29;11;1
29;5;2
29;14;3
29;3;4
30;8;1
30;14;2
30;5;3
30;11;4
30;2;5
30;9;6
30;3;7
30;7;8
